1,2,"C1, C10",10uF,device:CP1,Capacitors_SMD:CP_Elec_4x4.5,https://www.digikey.com/product-detail/en/panasonic-electronic-components/EEE-1VA100WR/PCE3948CT-ND/766324,PCE3948CT-ND,EEE-1VA100WR
2,2,"C2, C4",20pF,device:C,Capacitors_SMD:C_0603,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10C200JB8NCNC/1276-2220-1-ND/3890306,1276-2220-1-ND,CL10C200JB8NCNC
3,4,"C3, C8, C15, C16",100nF,device:C,Capacitors_SMD:C_1206_HandSoldering,https://www.digikey.com/product-detail/en/kemet/C1206C104K5RAC7867/399-1249-1-ND/411524,399-1249-1-ND,C1206C104K5RAC7867
4,2,"C5, C6",6800uF,device:CP1,Capacitors_THT:CP_Radial_D18.0mm_P7.50mm,https://www.digikey.com/product-detail/en/panasonic-electronic-components/EEU-HD1V682/P15173-ND/2796849,P15173-ND, EEU-HD1V682 
5,2,"C7, C14",10uF,device:C,Capacitors_SMD:C_1206_HandSoldering,https://www.digikey.com/product-detail/en/kemet/C1206C106M3PACTU/399-8153-1-ND/3471876,399-8153-1-ND,C1206C106M3PACTU
6,1,C9,0.1uF,device:C,Capacitors_SMD:C_1206_HandSoldering,https://www.digikey.com/product-detail/en/kemet/C1206C104K5RAC7867/399-1249-1-ND/411524,399-1249-1-ND,C1206C104K5RAC7867
7,1,C11,0.015uf,device:C,Capacitors_SMD:C_0805_HandSoldering,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM2195C1H153JA01D/490-1643-1-ND/587510,490-1643-1-ND ,GRM2195C1H153JA01D
8,1,C12,680pF,device:C,Capacitors_SMD:C_0805_HandSoldering,https://www.digikey.com/product-detail/en/yageo/CC0805JRNPO9BN681/311-1121-1-ND/303031,311-1121-1-ND,CC0805JRNPO9BN681
9,1,C13,47pF,device:C,Capacitors_SMD:C_0805_HandSoldering,https://www.digikey.com/product-detail/en/yageo/CC0805JRNPO9BN470/311-1107-1-ND/303017,311-1107-1-ND,CC0805JRNPO9BN470
10,2,"C17, C18",1nF,device:C,Capacitors_SMD:C_0805_HandSoldering,https://www.digikey.com/product-detail/en/kemet/C0805C102K5RACTU/399-1147-1-ND/411422,399-1147-1-ND,C0805C102K5RACTU 
11,1,CON1,AVR-ISP-6,atmel:AVR-ISP-6,Connectors:IDC_Header_Straight_6pins,,,
12,1,D1,110B2 (W01G),device:D_Bridge_+A-A,Diodes_THT:Diode_Bridge_Round_D8.9mm,https://www.digikey.com/product-detail/en/vishay-semiconductor-diodes-division/W01G-E4-51/W01G-E4-51GI-ND/76538,W01G-E4/51GI-ND,W01G-E4/51 
13,1,D2,B220A,device:D_Schottky,footprints:D_SMA,https://www.digikey.com/product-detail/en/diodes-incorporated/B220A-13-F/B220A-FDICT-ND/751528,B220A-FDICT-ND,B220A-13-F
14,1,D3,LED,device:LED,LEDs:LED_0603_HandSoldering,https://www.digikey.com/product-detail/en/rohm-semiconductor/SML-D12V1WT86/SML-D12V1WT86CT-ND/5843857,SML-D12V1WT86CT-ND,SML-D12V1WT86
15,1,D4,LED,device:LED,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,,,
16,2,"F1, F2",Fuse,device:Fuse,Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_SemiClosed_Casing10x25mm,,,
17,1,J1,AC_IN,conn:Screw_Terminal_01x03,Connectors:AK300-3,,,
18,1,J2,DIGITS,conn:Conn_01x08,Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm,,,
